Year,Category,Prize,Prize Share,Laureate ID,LaureateType,FullName,Birth Date,Birth City,BirthCountry,Sex,OrganizationName,Organization City,OrganizationCountry,Death Date,Death City,Death Country,Age
1901,Chemistry,The Nobel Prize in Chemistry 1901,1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany,49
1901,Literature,The Nobel Prize in Literature 1901,1/1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,,,,1907-09-07,Châtenay,France,62
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,1/1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Poland,Male,Marburg University,Marburg,Germany,1917-03-31,Marburg,Germany,47
1901,Peace,The Nobel Peace Prize 1901,1/2,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,,,,1910-10-30,Heiden,Switzerland,73
1901,Peace,The Nobel Peace Prize 1901,1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,,,,1912-06-12,Paris,France,79
1901,Physics,The Nobel Prize in Physics 1901,1/1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Germany,Male,Munich University,Munich,Germany,1923-02-10,Munich,Germany,56
1902,Chemistry,The Nobel Prize in Chemistry 1902,1/1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Germany,Male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany,50
1902,Literature,The Nobel Prize in Literature 1902,1/1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Germany,Male,,,,1903-11-01,Charlottenburg,Germany,85
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,1/1,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932-09-16,Putney Heath,United Kingdom,45
1902,Peace,The Nobel Peace Prize 1902,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,,,,1906-12-07,Bern,Switzerland,69
1902,Peace,The Nobel Peace Prize 1902,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,,,,1914-03-16,Bern,Switzerland,59
1902,Physics,The Nobel Prize in Physics 1902,1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928-02-04,,Netherlands,49
1902,Physics,The Nobel Prize in Physics 1902,1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943-10-09,Amsterdam,Netherlands,37
1903,Chemistry,The Nobel Prize in Chemistry 1903,1/1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden,44
1903,Literature,The Nobel Prize in Literature 1903,1/1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,,,,1910-04-26,Paris,France,71
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904-09-24,Copenhagen,Denmark,43
1903,Peace,The Nobel Peace Prize 1903,1/1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,,,,1908-07-22,London,United Kingdom,75
